Point,d1/t,a/d1,G0,G1,G2,G3,G4
A,0.1,0.2,1.037474,-0.525539,0.51353,-0.398121,0.385912
A,0.1,0.4,1.063196,-0.512793,0.52796,-0.381408,0.393538
A,0.1,0.6,1.124939,-0.511072,0.549082,-0.375003,0.405314
A,0.1,0.8,1.292554,-0.539518,0.596937,-0.390045,0.431613
A,0.2,0.2,1.058534,-0.523445,0.525337,-0.391913,0.392771
A,0.2,0.4,1.093824,-0.52216,0.533711,-0.391325,0.397355
A,0.2,0.6,1.195165,-0.533388,0.561563,-0.398093,0.41276
A,0.2,0.8,1.430213,-0.56689,0.625906,-0.415809,0.446381
A,0.5,0.2,1.069921,-0.675294,0.528362,-0.447519,0.394956
A,0.5,0.4,1.172232,-0.721464,0.557197,-0.468248,0.41113
A,0.5,0.6,1.375565,-0.809178,0.60955,-0.504208,0.437929
A,0.5,0.8,1.912707,-1.049389,0.756235,-0.606419,0.514699
B,0.1,0.2,1.036385,0.500468,0.513132,0.373235,0.385696
B,0.1,0.4,1.053488,0.529134,0.525443,0.399017,0.392261
B,0.1,0.6,1.083573,0.54356,0.538003,0.413163,0.399621
B,0.1,0.8,1.136074,0.537801,0.552329,0.410923,0.407874
B,0.2,0.2,1.057198,0.52311,0.525004,0.391746,0.392604
B,0.2,0.4,1.084672,0.520354,0.531924,0.39065,0.396678
B,0.2,0.6,1.144249,0.519696,0.548254,0.391129,0.405936
B,0.2,0.8,1.239721,0.511818,0.573109,0.386992,0.418467
B,0.5,0.2,1.069921,0.675294,0.528362,0.447519,0.394956
B,0.5,0.4,1.172232,0.721464,0.557197,0.468248,0.41113
B,0.5,0.6,1.375565,0.809178,0.60955,0.504208,0.437929
B,0.5,0.8,1.912707,1.049389,0.756235,0.606419,0.514699
