t/Ri,a/c,a/t ,"A0, G0","A0, G1","A0, G5","A0, G6","A1, G0","A1, G1","A1, G5","A1, G6","A2, G0","A2, G1","A2, G5","A2, G6","A3, G0","A3, G1","A3, G5","A3, G6","A4, G0","A4, G1","A4, G5","A4, G6","A5, G0","A5, G1","A5, G5","A5, G6","A6, G0","A6, G1","A6, G5","A6, G6"
0,0.03125,0,0.1965046,0.005178,0.196505,0,2.9373464,0.175028,2.937346,0,-5.2582823,2.771868,-5.258282,0,7.4889153,-4.6457154,7.488915,0,-6.9282667,4.6780502,-6.928267,0,3.3673349,-3.276809,3.367335,0,-0.6677966,0.9840994,-0.667797,0
0,0.03125,0.2,0.208076,0.0084834,0.208076,0,3.0112422,0.2406767,3.0112422,0,-5.1048701,2.4574292,-5.1048701,0,7.6348715,-3.6452421,7.6348715,0,-6.8347547,3.6142837,-6.8347547,0,2.7940766,-2.8451814,2.7940766,0,-0.3882688,0.9270638,-0.3882688,0
0,0.03125,0.4,0.235794,0.014514,0.235794,0,3.08224,0.4038,3.08224,0,-3.57921,1.64227,-3.57921,0,3.947689,-0.39061,3.947689,0,1.913159,-0.64807,1.913159,0,-6.88722,-0.29403,-6.88722,0,3.18968,0.25149,3.18968,0
0,0.03125,0.6,0.290224,0.020889,0.290224,0,3.689205,0.701678,3.689205,0,-4.57391,0.163184,-4.57391,0,11.70989,5.707216,11.70989,0,-6.375,-8.20758,-6.375,0,-5.88941,3.456112,-5.88941,0,4.24524,-0.44547,4.24524,0
0,0.03125,0.8,0.516355,0.082546,0.516355,0,2.531083,0.497177,2.531083,0,14.7129,4.606481,14.7129,0,-43.6218,-7.33267,-43.6218,0,101.0657,21.14862,101.0657,0,-116.081,-29.3451,-116.081,0,46.1909,12.4914,46.1909,0
0,0.0625,0,0.2695332,0.0138667,0.269533,0,2.1626001,0.1827458,2.1626,0,-1.6551569,2.5749608,-1.655157,0,-1.2970208,-3.9044679,-1.297021,0,4.5604304,3.3556301,4.56043,0,-4.3163876,-2.1772209,-4.316388,0,1.4010655,0.6420134,1.401066,0
0,0.0625,0.2,0.2845892,0.0199077,0.2845892,0,2.2264055,0.2210874,2.2264055,0,-1.454619,2.4642047,-1.454619,0,-1.5760719,-3.5898625,-1.5760719,0,5.1131083,3.1624039,5.1131083,0,-4.9485443,-2.240378,-4.9485443,0,1.6207574,0.6965751,1.6207574,0
0,0.0625,0.4,0.326148,0.029412,0.326148,0,2.520087,0.369937,2.520087,0,-1.8847,1.922085,-1.8847,0,2.179874,-1.20715,2.179874,0,-1.45971,-0.4394,-1.45971,0,-0.18865,0.273755,-0.18865,0,0.23934,-0.03952,0.23934,0
0,0.0625,0.6,0.416633,0.059846,0.416633,0,3.156647,0.434074,3.156647,0,-2.62489,2.681156,-2.62489,0,7.732591,-3.19366,7.732591,0,-9.69278,4.075372,-9.69278,0,3.64287,-4.69402,3.64287,0,-0.0892,1.82855,-0.0892,0
0,0.0625,0.8,0.654014,0.121478,0.654014,0,3.423192,0.697549,3.423192,0,3.815805,2.971833,3.815805,0,-4.15869,-1.30365,-4.15869,0,3.471533,-0.07549,3.471533,0,-10.3104,-3.04651,-10.3104,0,6.628,2.167,6.628,0
