t/Ri ,Gi,A0,A1,A2,A3,A4,A5,A6,A7,A8
0.01,G0,0.99617614,-0.136758833,0.287370688,-0.021281327,0.001614339,-0.000042228,0,0,0
0.01,G1,0.044812392,0.259340393,0.002323025,0.015757981,-0.001236315,0.000032495,0,0,0
0.01,Gp,1.004221696,-0.167942026,0.292305595,-0.022174673,0.001329751,-0.000003796,-0.000001208,0,0
0.01667,G0,0.991485916,-0.123995291,0.25877421,-0.003234973,-0.003037501,0.000453864,-0.000017696,0,0
0.01667,G1,0.044449377,0.329870565,-0.080013831,0.043185458,-0.004430561,0.000151378,0,0,0
0.01667,Gp,1.007412943,-0.122314488,0.207938107,0.02787658,-0.011026831,0.00126066,-0.000044986,0,0
0.05,G0,0.972086762,-0.160593405,0.322770004,-0.046962649,0.009841309,-0.001237926,0.000082018,-0.00000212,0
0.05,G1,0.005444054,0.500718442,-0.407095219,0.257589713,-0.064153363,0.008073071,-0.000494471,0.000011706,0
0.05,Gp,1.016842538,-0.124612983,0.192323868,0.029228099,-0.010429496,0.001403746,-0.000083815,0.000001882,0
0.1,G0,0.942279944,-0.099201862,0.204585843,0.024467655,-0.00999634,0.001470499,-0.000092852,0.000002178,0
0.1,G1,0.002573686,0.205082631,0.057545268,0.002773726,-0.000044775,0.000004322,0,0,0
0.1,Gp,1.003333955,-0.099987188,0.145978848,0.052933686,-0.016655808,0.002250674,-0.000138201,0.000003223,0
0.2,G0,0.906931687,-0.135342636,0.113534642,0.245624518,-0.167632893,0.052005435,-0.00821605,0.00063707,-0.000019115
0.2,G1,0.001981728,0.19568169,0.078164645,-0.006180974,0.000733825,0,0,0,0
0.2,Gp,1.031155982,-0.675755928,1.239084081,-0.741013347,0.250332573,-0.042638069,0.003496156,-0.000109049,0
0.33333,G0,0.852357575,0.022535087,-0.543973921,1.124441452,-0.716813516,0.228690564,-0.038335412,0.003210444,-0.000105495
0.33333,G1,-0.001766453,0.265994715,-0.214958095,0.27984727,-0.134380666,0.032990268,-0.003923423,0.000177997,0
0.33333,Gp,1.037606706,-1.065302487,2.222552179,-1.6576231,0.630449841,-0.119933248,0.010997535,-0.000385651,0
,,,,,,,,,,
