t/Ri,Gi,A0,A1,A2,A3,A4,A5,A6,A7,A8
0.01,G0,1.000081599,0.373644366,0.191913526,-0.067372381,0.009174932,-0.000594291,0.00001413,0,0
0.01,G1,0.988670046,-0.084224131,0.181255625,-0.038122523,0.0028319,-0.000072325,0,0,0
0.01,Gp,0.990490873,0.379074327,0.11770097,-0.033786795,0.002265847,-0.000047279,0,0,0
0.01667,G0,0.993366131,0.40005232,0.137082159,-0.039414298,0.003414265,-0.000107359,0,0,0
0.01667,G1,0.990851836,-0.141604651,0.258638595,-0.066265614,0.006355895,-0.000210459,0,0,0
0.01667,Gp,0.999261355,0.352070288,0.140730133,-0.046550905,0.004654802,-0.000211522,0.000003441,0,0
0.05,G0,0.994548744,0.26479487,0.32827333,-0.156754808,0.035235794,-0.00429088,0.000260114,-0.000006143,0
0.05,G1,0.999613246,-0.168935301,0.384213423,-0.17538972,0.040401774,-0.004958385,0.000301935,-0.000007156,0
0.05,Gp,0.996575908,0.311883656,0.12531539,-0.036745174,0.002252144,0.000123218,-0.000023892,0.000000908,0
0.1,G0,0.996187434,0.214400912,0.348804428,-0.167469117,0.040060365,-0.005671383,0.00046014,-0.000019943,0.00000036
0.1,G1,0.999493403,-0.008575611,0.123480901,-0.032176781,0.003701792,-0.000238211,0.0000062,0,0
0.1,Gp,0.975810822,0.380142341,0.011074721,0.01793423,-0.011467369,0.001989205,-0.000155782,0.000004675,0
0.2,G0,0.995213839,0.014598654,0.815870555,-0.616813158,0.241781646,-0.053716832,0.006690865,-0.000434417,0.000011398
0.2,G1,1.002745997,-0.078220201,0.229674431,-0.087645986,0.01543184,-0.001330949,0.000042881,0,0
0.2,Gp,0.951843702,0.586803756,-0.442871291,0.328892014,-0.112749517,0.018687574,-0.001498727,0.00004639,0
0.33333,G0,0.99413459,-0.111105053,1.066365098,-0.901784563,0.398023204,-0.099327539,0.013916145,-0.001018574,0.000030207
0.33333,G1,0.999438036,-0.054656134,0.318788668,-0.294466264,0.158987833,-0.048834246,0.008271172,-0.000719616,0.000025055
0.33333,Gp,0.932521476,0.711948724,-0.770560233,0.58418391,-0.209919538,0.037632809,-0.003303607,0.000112568,0
