t/Ri ,a/t,G0_in,G1_in,G2_in,G3_in,G4_in,G0_out,G1_out,G2_out,G3_out,G4_out
0.001,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.001,0.05,1.024082,0.601169,0.459493,0.387539,0.333594,1.020798,0.60239,0.461317,0.389214,0.335227
0.001,0.1,0.982026,0.555537,0.420873,0.355007,0.305499,0.980903,0.554875,0.420499,0.355007,0.305194
0.001,0.2,0.969389,0.48418,0.351367,0.294234,0.250941,0.969389,0.484342,0.351591,0.294144,0.251071
0.001,0.4,1.584413,0.640551,0.375023,0.262572,0.253033,1.586151,0.641165,0.375198,0.262821,0.253176
0.001,0.6,2.990095,1.039894,0.508081,0.285484,0.291371,2.993602,1.040903,0.508425,0.285546,0.291477
0.001,0.8,6.751458,2.106236,0.886556,0.388222,0.392172,6.760196,2.108414,0.887591,0.38856,0.392167
0.00333,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.00333,0.05,1.070867,0.635287,0.486127,0.408884,0.351531,1.067923,0.637431,0.488495,0.411111,0.353835
0.00333,0.1,1.075365,0.62513,0.4751,0.399249,0.342505,1.075365,0.624542,0.474658,0.398986,0.342035
0.00333,0.2,1.133792,0.611639,0.451255,0.374918,0.320027,1.134948,0.611982,0.451429,0.375058,0.320071
0.00333,0.4,1.746727,0.796624,0.510245,0.378227,0.345428,1.752724,0.808879,0.528579,0.401085,0.354033
0.00333,0.6,3.051466,1.23445,0.721692,0.496415,0.434741,3.059194,1.236715,0.722661,0.496943,0.435008
0.00333,0.8,5.772142,2.124837,1.136853,0.715883,0.602916,5.789161,2.129462,1.138928,0.716981,0.603212
0.01,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.01,0.05,1.09844,0.655289,0.501637,0.421894,0.362018,1.09758,0.655129,0.501846,0.422044,0.362062
0.01,0.1,1.1123,0.654809,0.49849,0.417996,0.358862,1.114656,0.655369,0.4987,0.418247,0.358839
0.01,0.2,1.208823,0.673259,0.500433,0.414909,0.354317,1.212723,0.67466,0.501219,0.415415,0.354658
0.01,0.4,1.775773,0.870581,0.593351,0.462736,0.398785,1.786084,0.874039,0.595117,0.46384,0.399489
0.01,0.6,2.860047,1.249167,0.783061,0.572346,0.484799,2.879549,1.255034,0.785848,0.573872,0.485592
0.01,0.8,4.638121,1.877737,1.107159,0.768207,0.63204,4.684553,1.89131,1.113538,0.771869,0.633612
0.01667,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.01667,0.05,1.103967,0.660076,0.505804,0.42519,0.364742,1.104537,0.660076,0.505596,0.425066,0.364628
0.01667,0.1,1.123564,0.664117,0.505907,0.424102,0.364056,1.127294,0.665538,0.506736,0.42472,0.364446
0.01667,0.2,1.22649,0.690153,0.514444,0.426569,0.364299,1.23289,0.692392,0.515615,0.427307,0.36481
0.01667,0.4,1.756462,0.875239,0.600383,0.468847,0.406373,1.772076,0.884482,0.610136,0.479525,0.410645
0.01667,0.6,2.71286,1.2202,0.783173,0.582943,0.491062,2.742675,1.229196,0.787404,0.585487,0.492297
0.01667,0.8,4.126269,1.735804,1.057964,0.755031,0.620864,4.178392,1.750103,1.064146,0.758412,0.621879
0.025,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.025,0.05,1.10672,0.662931,0.508081,0.427061,0.366476,1.10871,0.663406,0.508287,0.427159,0.366458
0.025,0.1,1.129154,0.66939,0.510348,0.427798,0.367156,1.134717,0.671581,0.51158,0.428533,0.367796
0.025,0.2,1.233528,0.699216,0.522388,0.433221,0.370142,1.243062,0.702548,0.524143,0.43437,0.3709
0.025,0.4,1.727851,0.875389,0.607334,0.478073,0.412216,1.750478,0.886408,0.616977,0.487689,0.416505
0.025,0.6,2.575276,1.185079,0.773736,0.583393,0.490483,2.616709,1.197704,0.779703,0.58683,0.492296
0.025,0.8,3.748132,1.624554,1.013576,0.737098,0.607492,3.814046,1.642621,1.021248,0.74118,0.608762
0.05,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.05,0.05,1.109939,0.666405,0.510964,0.429585,0.368611,1.115692,0.667977,0.511785,0.429951,0.368718
0.05,0.1,1.132866,0.67501,0.515361,0.432069,0.370909,1.143927,0.679194,0.517596,0.433524,0.372045
0.05,0.2,1.23289,0.707311,0.53066,0.440666,0.376746,1.251895,0.713993,0.534207,0.442923,0.37829
0.05,0.4,1.654952,0.864381,0.612924,0.489863,0.417989,1.694893,0.877783,0.619735,0.494049,0.420723
0.05,0.6,2.313398,1.108205,0.743888,0.572346,0.481359,2.384504,1.130006,0.754394,0.578425,0.484579
0.05,0.8,3.17044,1.445533,0.935159,0.698728,0.579813,3.277447,1.475174,0.948252,0.705919,0.582125
0.1,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.1,0.05,1.108615,0.667506,0.512195,0.430804,0.369757,1.123378,0.671737,0.51424,0.431826,0.370189
0.1,0.1,1.129154,0.676718,0.517697,0.43437,0.373018,1.151243,0.684964,0.522238,0.43726,0.375197
0.1,0.2,1.214669,0.706198,0.532683,0.443396,0.379499,1.252314,0.719666,0.539728,0.447812,0.382744
0.1,0.4,1.548235,0.833006,0.60082,0.485289,0.414232,1.62213,0.858289,0.61378,0.493332,0.41968
0.1,0.6,2.033355,1.018225,0.702908,0.551016,0.465383,2.152844,1.05542,0.720965,0.561704,0.471242
0.1,0.8,2.688413,1.29069,0.86271,0.659519,0.552344,2.865317,1.34152,0.885964,0.672615,0.557628
0.2,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.2,0.05,1.103301,0.666719,0.5124,0.431194,0.37019,1.124218,0.677493,0.519316,0.436202,0.374625
0.2,0.1,1.115127,0.673609,0.516886,0.434249,0.373337,1.156245,0.688402,0.524943,0.439534,0.376947
0.2,0.2,1.177157,0.695982,0.528877,0.441915,0.378829,1.249587,0.722068,0.542782,0.450731,0.385211
0.2,0.4,1.415271,0.789345,0.580161,0.474188,0.405897,1.546794,0.834422,0.603652,0.488737,0.415653
0.2,0.6,1.75895,0.92602,0.657926,0.525343,0.446501,1.953068,0.98762,0.688199,0.543506,0.456957
0.2,0.8,2.297752,1.162919,0.801303,0.624584,0.52826,2.574511,1.243062,0.837873,0.645142,0.537022
0.33333,0,1.12,0.682,0.5245,0.4404,0.379075,1.12,0.682,0.5245,0.4404,0.379075
0.33333,0.05,1.094572,0.664481,0.512071,0.430731,0.369999,1.133297,0.680394,0.520747,0.436776,0.374992
0.33333,0.1,1.093356,0.667271,0.513708,0.432827,0.372573,1.160379,0.689942,0.525766,0.440225,0.378198
0.33333,0.2,1.137977,0.684117,0.523336,0.439239,0.376944,1.253402,0.725103,0.548614,0.45418,0.387225
0.33333,0.4,1.32636,0.753316,0.562372,0.463844,0.398192,1.5038,0.820848,0.598058,0.486976,0.414096
0.33333,0.6,1.574222,0.863314,0.62665,0.510734,0.433284,1.84545,0.950648,0.670079,0.533337,0.448895
0.33333,0.8,2.058835,1.084679,0.763446,0.602847,0.513638,2.448941,1.201019,0.817044,0.632677,0.528476
