t/Ri ,a/c ,a/t ,"A0, G0","A0, G1","A1, G0","A1, G1","A2, G0","A2, G1","A3, G0","A3, G1","A4, G0","A4, G1","A5, G0","A5, G1","A6, G0","A6, G1"
0,0.03125,0,0.1965046,0.005178,2.9373464,0.175028,-5.2582823,2.771868,7.4889153,-4.6457154,-6.9282667,4.6780502,3.3673349,-3.276809,-0.6677966,0.9840994
0,0.03125,0.2,0.208076,0.0084834,3.0112422,0.2406767,-5.1048701,2.4574292,7.6348715,-3.6452421,-6.8347547,3.6142837,2.7940766,-2.8451814,-0.3882688,0.9270638
0,0.03125,0.4,0.235794,0.014514,3.08224,0.4038,-3.57921,1.64227,3.947689,-0.39061,1.913159,-0.64807,-6.88722,-0.29403,3.18968,0.25149
0,0.03125,0.6,0.290224,0.020889,3.689205,0.701678,-4.57391,0.163184,11.70989,5.707216,-6.375,-8.20758,-5.88941,3.456112,4.24524,-0.44547
0,0.03125,0.8,0.516355,0.082546,2.531083,0.497177,14.7129,4.606481,-43.6218,-7.33267,101.0657,21.14862,-116.081,-29.3451,46.1909,12.4914
0,0.0625,0,0.2695332,0.0138667,2.1626001,0.1827458,-1.6551569,2.5749608,-1.2970208,-3.9044679,4.5604304,3.3556301,-4.3163876,-2.1772209,1.4010655,0.6420134
0,0.0625,0.2,0.2845892,0.0199077,2.2264055,0.2210874,-1.454619,2.4642047,-1.5760719,-3.5898625,5.1131083,3.1624039,-4.9485443,-2.240378,1.6207574,0.6965751
0,0.0625,0.4,0.326148,0.029412,2.520087,0.369937,-1.8847,1.922085,2.179874,-1.20715,-1.45971,-0.4394,-0.18865,0.273755,0.23934,-0.03952
0,0.0625,0.6,0.416633,0.059846,3.156647,0.434074,-2.62489,2.681156,7.732591,-3.19366,-9.69278,4.075372,3.64287,-4.69402,-0.0892,1.82855
0,0.0625,0.8,0.654014,0.121478,3.423192,0.697549,3.815805,2.971833,-4.15869,-1.30365,3.471533,-0.07549,-10.3104,-3.04651,6.628,2.167
0,0.125,0,0.4065238,0.032027,0.7772483,0.1825342,3.8861644,2.2670449,-12.573943,-2.7076615,16.760207,1.2088194,-11.014593,-0.377743,2.8706957,0.0763155
0,0.125,0.2,0.4242116,0.0429859,1.0089302,0.2033811,3.2973815,2.2563818,-12.159726,-2.875216,17.873386,1.8152558,-12.868668,-1.0512327,3.6281712,0.3181077
0,0.125,0.4,0.491777,0.063427,1.659232,0.37225,-0.10804,1.623167,0.179324,-0.53065,-2.70761,-2.00074,3.368062,1.894378,-1.34897,-0.58803
0,0.125,0.6,0.659182,0.111604,1.875914,0.47145,1.02126,1.794059,-1.7698,-0.75576,-0.56536,-1.49017,1.247996,1.085218,-0.43766,-0.21137
0,0.125,0.8,0.980933,0.203995,1.884632,0.480015,4.802078,2.882243,-8.05802,-2.58901,0.444785,-0.9683,3.477266,1.537237,-1.05675,-0.37502
0,0.25,0,0.6152816,0.0703566,-0.3348694,0.2828152,6.295562,1.4036169,-15.590618,-0.6511596,19.299508,-1.2076596,-12.488107,1.0318656,3.3010035,-0.2423741
0,0.25,0.2,0.6385889,0.0840059,-0.3095132,0.1999367,6.5329787,1.8218113,-16.622882,-1.7756899,21.056641,0.3757186,-13.85012,-0.0785358,3.6988146,0.0643386
0,0.25,0.4,0.739042,0.11645,0.054816,0.247988,4.084262,1.828252,-7.58831,-1.71699,5.404753,0.191212,-1.01461,0.116577,-0.34834,-0.01861
0,0.25,0.6,0.946121,0.177805,-0.18588,0.205668,5.586746,2.097921,-9.86349,-1.80395,5.959687,-0.55587,0.129644,1.14614,-1.00261,-0.42066
0,0.25,0.8,1.245211,0.258564,-0.69219,0.154889,8.326062,2.117024,-14.948,-0.491,8.693691,-4.61461,0.475579,5.455075,-1.39266,-1.96633
0,0.5,0,0.8776607,0.1277541,-0.6729719,0.4368502,3.7721411,0.4904522,-6.520906,1.0427434,6.3377934,-2.9631236,-3.7028038,2.0826525,0.9872447,-0.5184313
0,0.5,0.2,0.9003948,0.1404409,-0.8850488,0.3215397,5.2743239,1.1010666,-11.267523,-1.0257556,13.890755,0.694394,-9.6373584,-1.0793186,2.8183906,0.5410929
0,0.5,0.4,1.005806,0.174087,-0.73226,0.305163,2.995194,1.207031,-1.94592,-0.67205,-3.26135,-1.06513,5.142457,1.144559,-2.03062,-0.36448
0,0.5,0.6,1.182601,0.227712,-1.10725,0.170117,3.962364,1.549947,-2.77813,-1.10512,-4.30973,-0.83337,7.277275,1.171706,-2.96482,-0.41945
0,0.5,0.8,1.383338,0.282011,-1.39003,0.083923,4.375578,1.725858,-3.73726,-1.53581,-2.54032,-0.06356,5.3036,0.500678,-2.09324,-0.19822
0,1,0,1.1977992,0.1870117,-0.524487,0.6987352,0.1498299,0.13169,2.3284866,0.7269255,-5.1058499,-2.5259384,4.3469049,2.1756251,-1.348798,-0.6540458
0,1,0.2,1.2263282,0.2154786,-1.1608467,0.2441623,4.4744783,2.810782,-11.584231,-7.657458,17.811241,11.171413,-14.40825,-9.0053693,4.6998279,2.9542871
0,1,0.4,1.298948,0.2386246,-0.9978,0.1447774,1.947954,3.3198992,-1.30027,-9.2456599,-1.49401,13.823512,2.830623,-11.223715,-1.2126,3.6868232
0,1,0.6,1.397118,0.244587,-1.13484,0.532667,1.791874,0.593969,-0.42026,-0.03618,-2.86793,-2.01631,3.768548,2.216701,-1.4405,-0.77822
0,1,0.8,1.511701,0.270447,-1.32448,0.511328,1.756835,0.535744,-0.13379,-0.03273,-2.86293,-1.55702,3.295327,1.557097,-1.14124,-0.50946
0,2,0,0.8150546,0.1359146,-0.5623828,0.070234,1.4465771,3.5558581,-4.6778133,-11.034445,8.4192164,16.967724,-7.9025932,-14.126991,2.9866351,4.8706612
0,2,0.2,0.8463715,0.1395121,-1.0011024,0.0753999,4.0052312,3.1895604,-11.937181,-9.5540932,19.189548,14.214316,-16.039296,-11.649525,5.4674371,4.0073308
0,2,0.4,0.8570045,0.1436696,-1.0183085,0.0544018,3.9957306,3.2816127,-11.886878,-9.8164232,19.152747,14.610963,-16.04748,-11.942138,5.4801806,4.0907797
0,2,0.6,0.8839861,0.1504185,-1.076527,0.0478401,4.0774087,3.257996,-11.976171,-9.6921199,19.173189,14.370843,-15.996207,-11.736129,5.4501217,4.0258411
0,2,0.8,0.9033134,0.1458559,-0.9619755,0.2313881,2.85015,1.9882138,-7.6366897,-5.5546045,11.596116,7.4196069,-9.4828625,-5.8965053,3.2550163,2.0855563
0.01,0.03125,0,0.1965046,0.005178,2.9373464,0.175028,-5.2582823,2.771868,7.4889153,-4.6457154,-6.9282667,4.6780502,3.3673349,-3.276809,-0.6677966,0.9840994
0.01,0.03125,0.2,0.2077867,0.0058829,2.274938,0.21236,0.140583,2.6447168,-8.1883567,-4.3435807,16.585201,4.7836038,-14.085844,-3.7532574,4.3580585,1.1949871
0.01,0.03125,0.4,0.222815,0.011287,2.973492,0.480266,-3.42832,1.40738,3.393074,0.051089,3.787314,-0.09722,-9.11005,-1.89925,4.06013,1.03716
0.01,0.03125,0.6,0.228214,0.018383,3.516631,0.777313,-6.82364,-1.47523,20.4113,11.27875,-20.3047,-15.8233,5.619412,8.643098,0.37835,-1.98935
0.01,0.03125,0.8,0.261529,0.022087,2.733922,0.87795,1.590146,-2.00004,-6.44032,11.24449,48.32267,-3.75842,-70.868,-9.80425,29.3565,5.5705
0.01,0.0625,0,0.2695332,0.0138667,2.1626001,0.1827458,-1.6551569,2.5749608,-1.2970208,-3.9044679,4.5604304,3.3556301,-4.3163876,-2.1772209,1.4010655,0.6420134
0.01,0.0625,0.2,0.2769613,0.017728,2.0258789,0.2145484,-0.6462394,2.582325,-2.317113,-4.3171184,4.1211301,4.8055429,-2.9457279,-3.8182428,0.7405852,1.2440577
0.01,0.0625,0.4,0.319877,0.035227,2.551157,0.509678,-2.05367,1.438124,1.797615,-0.06477,1.066115,-1.5756,-3.49408,0.505801,1.57687,0.08409
0.01,0.0625,0.6,0.372479,0.052864,3.378584,0.5448,-5.52754,1.881354,17.22659,-0.56374,-21.8289,1.115313,10.68963,-3.57642,-1.6511,1.80376
0.01,0.0625,0.8,0.517186,0.081683,3.021028,0.646769,1.871583,2.087271,3.600315,2.289412,1.445434,-2.1269,-16.7028,-4.57351,10.2415,3.33129
0.01,0.125,0,0.4065238,0.032027,0.7772483,0.1825342,3.8861644,2.2670449,-12.573943,-2.7076615,16.760207,1.2088194,-11.014593,-0.377743,2.8706957,0.0763155
0.01,0.125,0.2,0.4061772,0.0474966,1.1680061,0.0088231,1.5950075,4.0171999,-5.6041264,-9.505599,6.7047751,13.434246,-4.055673,-10.567935,0.9877657,3.2711539
0.01,0.125,0.4,0.485088,0.073142,1.433201,0.363805,1.583962,1.898462,-5.0901,-1.40401,6.165509,-0.44938,-4.11663,0.377128,1.10401,-0.00651
0.01,0.125,0.6,0.632818,0.11862,1.945087,0.431488,0.3228,2.314443,1.997375,-2.17259,-7.54295,0.785501,6.99683,-0.90419,-2.23077,0.47601
0.01,0.125,0.8,0.923918,0.201751,1.716507,0.440784,5.85262,3.33287,-7.98822,-2.80521,-0.83127,-1.11921,4.056757,1.448586,-1.00704,-0.22783
0.01,0.25,0,0.6152816,0.0703566,-0.3348694,0.2828152,6.295562,1.4036169,-15.590618,-0.6511596,19.299508,-1.2076596,-12.488107,1.0318656,3.3010035,-0.2423741
0.01,0.25,0.2,0.6034886,0.0832497,0.1249569,0.2943416,4.7121854,1.7190774,-13.217504,-2.692481,17.879255,2.8266885,-12.438871,-2.3624724,3.4748076,0.8135845
0.01,0.25,0.4,0.732919,0.124014,0.10746,0.268157,4.067553,1.817758,-7.67395,-1.68059,5.667631,0.139558,-1.31158,0.08355,-0.22991,0.02741
0.01,0.25,0.6,0.937004,0.186197,0.023072,0.24757,4.554108,1.959076,-6.44705,-1.26925,0.462838,-1.48771,4.36353,1.854934,-2.26155,-0.61736
0.01,0.25,0.8,1.207361,0.272713,0.291972,0.160873,1.006771,2.193932,12.27523,-0.24323,-38.9701,-5.27568,39.62024,5.845749,-13.6034,-1.9946
0.01,0.5,0,0.8776607,0.1277541,-0.6729719,0.4368502,3.7721411,0.4904522,-6.520906,1.0427434,6.3377934,-2.9631236,-3.7028038,2.0826525,0.9872447,-0.5184313
0.01,0.5,0.2,0.8872475,0.1439007,-0.8816683,0.2201219,5.4321461,1.8303174,-11.914421,-3.2294108,14.854353,3.7691815,-10.257839,-3.1256488,2.966142,1.0743502
0.01,0.5,0.4,1.004501,0.180624,-0.70168,0.300675,3.00892,1.226004,-1.97726,-0.58492,-3.26331,-1.35144,5.169822,1.430569,-2.04417,-0.46123
0.01,0.5,0.6,1.183626,0.236825,-0.93093,0.214619,3.290509,1.424241,-1.60109,-0.84145,-4.84028,-1.19004,6.752496,1.380853,-2.55367,-0.44936
0.01,0.5,0.8,1.399229,0.292282,-1.11311,0.207563,2.964956,1.026387,-0.30651,0.199668,-6.52252,-2.08837,7.427646,1.577235,-2.49191,-0.39789
0.01,1,0,1.1977992,0.1870117,-0.524487,0.6987352,0.1498299,0.13169,2.3284866,0.7269255,-5.1058499,-2.5259384,4.3469049,2.1756251,-1.348798,-0.6540458
0.01,1,0.2,1.2100415,0.2140206,-1.2196778,0.1547905,5.0851813,3.428782,-13.887803,-9.7373187,22.015976,14.739129,-18.111977,-12.020076,5.9617039,3.9511125
0.01,1,0.4,1.305657,0.223275,-0.98407,0.544949,1.809406,0.77387,-0.67347,-0.65666,-2.58263,-1.01932,3.712298,1.456188,-1.4919,-0.56117
0.01,1,0.6,1.418374,0.255125,-1.21355,0.501983,2.199351,0.754751,-1.49333,-0.56399,-1.22189,-1.03637,2.484768,1.35264,-1.05149,-0.49406
0.01,1,0.8,1.532642,0.283095,-1.30658,0.481165,1.583841,0.667489,0.254367,-0.50459,-3.02851,-0.60689,3.093099,0.685647,-0.9974,-0.21733
0.01,2,0,0.8150546,0.1359146,-0.5623828,0.070234,1.4465771,3.5558581,-4.6778133,-11.034445,8.4192164,16.967724,-7.9025932,-14.126991,2.9866351,4.8706612
0.01,2,0.2,0.802898,0.1301047,-0.9650666,0.0878063,3.997004,3.0990196,-12.122017,-9.3341391,19.696606,13.946577,-16.510345,-11.459553,5.6097792,3.9447497
0.01,2,0.4,0.8356296,0.1402778,-0.3224289,0.0513398,-0.7985231,3.3153847,3.5989904,-10.032609,-6.5651593,15.088369,5.2488556,-12.371071,-1.4769852,4.2273204
0.01,2,0.6,0.8661064,0.1500634,-0.3731907,0.0351369,-0.798833,3.3528083,3.7602432,-10.075993,-6.9074912,15.097091,5.5440593,-12.363741,-1.5664796,4.2277521
0.01,2,0.8,0.920702,0.1497823,-0.9736206,0.1241355,2.810724,2.7412325,-7.4869514,-8.1567935,11.444939,11.844592,-9.4620056,-9.4737292,3.2859159,3.1871348
0.01667,0.03125,0,0.1965046,0.005178,2.9373464,0.175028,-5.2582823,2.771868,7.4889153,-4.6457154,-6.9282667,4.6780502,3.3673349,-3.276809,-0.6677966,0.9840994
0.01667,0.03125,0.2,0.20721,0.0056314,2.2706177,0.2083374,0.1180275,2.6523526,-8.0757534,-4.3557964,16.419765,4.7921966,-13.978696,-3.7396344,4.3309594,1.1821048
0.01667,0.03125,0.4,0.21878,0.009759,2.920117,0.394314,-3.25414,1.557373,2.77903,-0.52457,4.935516,1.087159,-10.0963,-2.701,4.37521,1.16448
0.01667,0.03125,0.6,0.222117,0.009471,3.286429,0.604192,-5.61657,-0.27828,15.96204,6.320075,-13.2858,-7.79011,0.626351,3.290343,1.71339,-0.77912
0.01667,0.03125,0.8,0.2135,0.011307,3.492872,0.763771,-5.75226,-1.17235,17.91447,8.183496,2.558303,-3.40206,-28.4535,-4.78742,14.5473,2.38491
0.01667,0.0625,0,0.2695332,0.0138667,2.1626001,0.1827458,-1.6551569,2.5749608,-1.2970208,-3.9044679,4.5604304,3.3556301,-4.3163876,-2.1772209,1.4010655,0.6420134
0.01667,0.0625,0.2,0.2766818,0.0174385,2.022522,0.2100226,-0.6355478,2.6007574,-2.3051909,-4.3532124,4.0699208,4.8533251,-2.8921145,-3.8493461,0.720972,1.2507471
0.01667,0.0625,0.4,0.314765,0.027952,2.529172,0.490246,-2.0919,1.247656,2.114312,0.835084,0.558877,-3.05538,-3.12327,1.680919,1.46329,-0.29439
0.01667,0.0625,0.6,0.355427,0.039647,3.169106,0.476199,-4.78082,1.821023,15.069,-0.2332,-17.9907,0.874041,7.608144,-3.4309,-0.78078,1.70591
0.01667,0.0625,0.8,0.444162,0.051484,2.873771,0.55322,0.286152,1.619754,8.226214,3.344268,-3.44958,-2.5539,-13.2321,-4.33387,8.81354,3.04343
0.01667,0.125,0,0.4065238,0.032027,0.7772483,0.1825342,3.8861644,2.2670449,-12.573943,-2.7076615,16.760207,1.2088194,-11.014593,-0.377743,2.8706957,0.0763155
0.01667,0.125,0.2,0.4064707,0.0473528,1.1624907,0.0100264,1.642621,4.0034731,-5.7433231,-9.4376443,6.9198224,13.307126,-4.2203447,-10.460898,1.0363847,3.2369598
0.01667,0.125,0.4,0.482161,0.071647,1.436977,0.322695,1.543983,2.174835,-4.81986,-2.31674,5.639146,1.171859,-3.65571,-1.00863,0.9473,0.44031
0.01667,0.125,0.6,0.624093,0.110227,1.839185,0.445349,1.057203,2.07317,-0.29164,-1.18594,-3.40307,-0.76754,3.374064,0.258382,-1.0492,0.12539
0.01667,0.125,0.8,0.880576,0.183708,1.786663,0.442426,4.901883,3.118698,-3.92615,-1.86914,-6.46861,-2.05963,7.468062,1.677976,-1.8176,-0.18732
0.01667,0.25,0,0.6152816,0.0703566,-0.3348694,0.2828152,6.295562,1.4036169,-15.590618,-0.6511596,19.299508,-1.2076596,-12.488107,1.0318656,3.3010035,-0.2423741
0.01667,0.25,0.2,0.6023257,0.0835309,0.1545741,0.2906933,4.5360513,1.7444852,-12.711785,-2.7644188,17.157905,2.9354101,-11.940369,-2.4449975,3.3414681,0.838036
0.01667,0.25,0.4,0.733125,0.123718,0.089498,0.260684,4.304878,1.882028,-8.50182,-1.852,7.072692,0.384846,-2.45455,-0.08899,0.12491,0.07273
