Ri/t,Ar/t ,a/t ,M 1pc ,M p2c
10,1,0.1,11.106,10.707
10,1,0.2,10.428,9.564
10,1,0.4,11.463,9.438
10,1,0.6,13.562,10.255
10,1,0.8,16.369,12.59
10,2,0.1,12.717,12.261
10,2,0.2,11.659,10.689
10,2,0.4,12.328,10.134
10,2,0.6,14.174,10.736
10,2,0.8,16.691,12.9
10,4,0.1,15.156,14.644
10,4,0.2,13.452,12.425
10,4,0.4,13.474,11.326
10,4,0.6,14.74,11.64
10,4,0.8,16.789,13.533
10,8,0.1,16.514,15.941
10,8,0.2,14.56,13.486
10,8,0.4,14.041,12.001
10,8,0.6,14.854,12.083
10,8,0.8,16.423,13.613
10,16,0.1,17.276,16.862
10,16,0.2,14.826,14.08
10,16,0.4,13.902,12.488
10,16,0.6,14.359,12.526
10,16,0.8,15.789,13.97
10,32,0.1,17.649,17.44
10,32,0.2,14.86,14.532
10,32,0.4,13.486,12.956
10,32,0.6,13.607,12.938
10,32,0.8,14.808,14.193
20,1,0.1,19.269,18.769
20,1,0.2,18.759,17.561
20,1,0.4,22.239,18.858
20,1,0.6,28.552,21.683
20,1,0.8,36.175,26.663
20,2,0.1,22.159,21.552
20,2,0.2,21.068,19.68
20,2,0.4,24.104,20.277
20,2,0.6,30.009,22.71
20,2,0.8,36.92,27.288
20,4,0.1,27.603,26.846
20,4,0.2,25.406,23.693
20,4,0.4,27.389,23.099
20,4,0.6,32.19,24.732
20,4,0.8,37.716,28.528
20,8,0.1,31.262,30.328
20,8,0.2,28.564,26.601
20,8,0.4,29.584,25.029
20,8,0.6,33.343,25.978
20,8,0.8,37.377,27.814
20,16,0.1,34.441,33.532
20,16,0.2,30.598,28.778
20,16,0.4,30.707,26.632
20,16,0.6,33.518,27.214
20,16,0.8,36.815,29.75
20,32,0.1,36.535,35.879
20,32,0.2,31.74,30.526
20,32,0.4,30.505,28.082
20,32,0.6,31.891,25.247
20,32,0.8,34.014,30.33
30,1,0.1,27.137,26.548
30,1,0.2,26.846,25.383
30,1,0.4,33.06,28.564
30,1,0.6,44.379,34.219
30,1,0.8,58.493,42.37
30,2,0.1,30.669,30.098
30,2,0.2,30.063,28.385
30,2,0.4,35.781,30.696
30,2,0.6,46.776,35.734
30,2,0.8,59.767,43.291
30,4,0.1,38.831,37.948
30,4,0.2,36.414,34.273
30,4,0.4,40.976,34.996
30,4,0.6,50.576,38.833
30,4,0.8,61.329,45.094
30,8,0.1,44.71,43.574
30,8,0.2,41.641,39.072
30,8,0.4,44.887,38.289
30,8,0.6,52.987,40.955
30,8,0.8,61.249,45.531
30,16,0.1,50.589,49.352
30,16,0.2,45.798,43.14
30,16,0.4,47.902,41.291
30,16,0.6,54.624,43.252
30,16,0.8,61.231,47.163
30,32,0.1,54.929,53.818
30,32,0.2,48.707,46.566
30,32,0.4,48.797,44.041
30,32,0.6,53.038,45.271
30,32,0.8,56.949,48.127
50,1,0.1,42.373,41.659
50,1,0.2,42.679,40.812
50,1,0.4,54.728,48.412
50,1,0.6,77.789,61.044
50,1,0.8,108.432,77.271
50,2,0.1,47.993,47.208
50,2,0.2,47.448,45.328
50,2,0.4,59.055,51.864
50,2,0.6,81.723,63.725
50,2,0.8,111.144,78.974
50,4,0.1,60.278,59.142
50,4,0.2,57.556,54.808
50,4,0.4,67.696,59.067
50,4,0.6,88.74,68.963
50,4,0.8,113.738,81.561
50,8,0.1,70.395,69.008
50,8,0.2,66.013,62.587
50,8,0.4,75.063,65.135
50,8,0.6,94.91,73.402
50,8,0.8,116.86,83.943
50,16,0.1,81.194,79.428
50,16,0.2,74.987,71.097
50,16,0.4,82.216,71.569
50,16,0.6,99.803,78.017
50,16,0.8,117.931,86.566
50,32,0.1,90.505,88.764
50,32,0.2,82.141,78.609
50,32,0.4,86.581,77.296
50,32,0.6,99.968,82.189
50,32,0.8,112.846,89.028
100,1,0.1,79.179,78.162
100,1,0.2,81.194,78.532
100,1,0.4,108.832,99.108
100,1,0.6,164.902,134.456
100,1,0.8,252.502,178.701
100,2,0.1,88.154,87.03
100,2,0.2,88.966,86.077
100,2,0.4,116.236,105.308
100,2,0.6,173.06,140.138
100,2,0.8,259.063,182.328
100,4,0.1,108.924,107.511
100,4,0.2,106.53,102.873
100,4,0.4,132.464,119.117
100,4,0.6,187.884,150.595
100,4,0.8,264.764,187.021
