t/Ri,Gi,A0,A1,A2,A3,A4,A5,A6
0.01,G0,1.00762,-0.1785,0.16144,0,-0.15252,0.05888,-0.00309
0.01,G1,0.0003,2.72894,0.42432,1.69848,13.87692,3.71258,0.07381
0.01,Gp,1.01406,2.57061,1.04038,1.30863,2.14898,2.35421,-0.03242
0.01667,G0,1.00764,0.01352,0.17941,0,0.06437,0.02407,-0.00105
0.01667,G1,0.00155,1.96534,0.17648,1.46729,9.45266,3.82985,0.01886
0.01667,Gp,1.0148,0.77427,0.45122,0.47068,0.63519,0.87859,-0.01045
0.05,G0,1.00848,0.01136,0.19463,0,0.07358,0.02742,-0.00114
0.05,G1,0.00382,0.78482,-0.2852,0.74773,1.89059,2.2748,-0.0046
0.05,Gp,1.02776,0.01407,0.20228,0,0.11182,0.02389,-0.00093
0.1,G0,1.00856,0.14934,0.2433,0,0.26871,0.00936,-0.00025
0.1,G1,0.00353,0.54229,-0.148882,0.4194,1.26399,1.19395,0.00593
0.1,Gp,1.05546,0.16638,0.27428,0,0.35344,0.0075,-0.00016
0.2,G0,1.00475,0.10738,0.22909,0,0.22398,0.01248,-0.00026
0.2,G1,0.00012,0.50647,0.24634,0.34342,3.0598,0.79449,0.01866
0.2,Gp,1.096636,0.226909,0.315056,0,0.473274,0.002693,0.00015
0.33333,G0,1.00566,0.27991,0.28673,0,0.4837,-0.012079,0.001377
0.33333,G1,0.01447,0.17988,0.01463,0,-0.029591,0.00541,0
0.33333,Gp,1.12254,0.25688,0.37136,0,0.56994,0.0116,-0.000096
1,G0,0.9944,-0.0951,0.22571,0,0.12524,0.02997,0.002957
1,G1,0.00359,0.13779,0.01744,0,-0.065443,0.01635,0.00031
1,Gp,1.32435,0.69698,0.40081,0.01554,1.30268,-0.0893,0.018523
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
