t/Ri ,Gi,A0,A1,A2,A3,A4,A5,A6
0.01,G0,1.00454,0.39225,0.08647,0,-0.0207,0.03061,-0.00099
0.01,G1,0.99951,7.9301,4.19681,1.91115,9.11712,3.41264,0.50331
0.01,Gp,0.99919,0.4392,-0.010021,0,0.2213,-0.028073,0.00088
0.01667,G0,1.00466,0.48166,0.16868,0,0.12401,0.02958,-0.00025
0.01667,G1,0.99503,2.65941,1.23398,0.25007,3.2505,0.52634,0.07082
0.01667,Gp,0.9932,0.76784,0.58987,0,0.69756,0.07408,0.001593
0.05,G0,0.99683,0.33814,0.09133,0,-0.017405,0.02798,-0.00049
0.05,G1,0.99285,0.78601,0.49022,0,1.02027,0.10866,0.00155
0.05,Gp,0.9807,0.3825,0.20654,0,0.14841,0.03893,0.000405
0.1,G0,0.99473,0.51025,0.18541,0,0.16877,0.03003,0.000233
0.1,G1,0.99922,1.71368,0.61207,0.07555,1.97385,0.14237,0.03116
0.1,Gp,0.95954,0.4944,0.21334,0,0.23384,0.03267,0.001154
0.2,G0,0.99533,0.58582,0.21128,0,0.23079,0.03744,-0.00013
0.2,G1,0.99819,0.66559,0.34386,0,0.73742,0.0976,0.00033
0.2,Gp,0.94791,0.4787,0.18479,0,0.18716,0.04371,0
0.33333,G0,0.99615,1.42209,0.68983,0,1.11375,0.08548,0.000444
0.33333,G1,1.00087,0.92895,0.3338,0,0.95697,0.08798,0.00013
0.33333,Gp,0.89315,-1.161606,1.75851,2.9495,-2.178423,4.09781,0.558077
1,G0,0.98779,0.42725,0.04842,0,0.05363,0.01217,0.000553
1,G1,0.9985,0.05834,0.01687,0,-0.051282,0.01085,0.00022
1,Gp,0.85615,0.35789,0.0009,0,-0.0098,0.00916,-0.00006
