t/Ri,Gi,A0,A1,A2,A3,A4,A5,A6,,,
0.01,G0,0.99348,-0.047161,0.05409,0,0.00038,-0.00068,0,,,
0.01,G1,0.02998,0.12438,0,0,-0.07555,0.00175,0,,,
0.01,G5,0.98559,-0.04561,0.05161,0,-0.00203,-0.00041,0,,,
0.01667,G0,0.98349,-0.02045,0.044819,0,0.00592,-0.00105,0,,,
0.01667,G1,0.03182,0.12329,0,0,-0.06494,0.00123,0,,,
0.01667,G5,0.97107,-0.01309,0.04674,0,0.02093,-0.00131,0,,,
0.05,G0,0.97355,0.00304,0.084271,0,0.11304,-0.01411,0.000399,,,
0.05,G1,0.02615,0.14048,0,0,-0.06683,0.00087,0,,,
0.05,G5,0.93338,0.04386,0.05586,0,0.10699,-0.01312,0.000417,,,
0.1,G0,0.94345,-0.0233,0.069755,0,0.03242,0.00717,-0.00074,,,
0.1,G1,0.02551,0.1384,-0.00295,0,-0.06584,0.0004,0,,,
0.1,G5,0.86759,-0.1717,0.04554,0,-0.20746,0.03571,-0.00158,,,
0.2,G0,0.89287,0.04244,0.0483,0,0.06239,-0.01037,0,,,
0.2,G1,0.00988,0.15455,-0.08561,0.01791,-0.65811,0.1771,-0.01008,,,
0.2,G5,0.76643,-0.11358,0.03707,0,-0.1811,0.03276,-0.00189,,,
0.33333,G0,0.84529,-0.0324,0.028444,0,-0.08025,-0.00028,0,,,
0.33333,G1,0.00501,0.1816,0.01511,0,0.24828,-0.0555,0.0024,,,
0.33333,G5,0.63921,-0.041,0,0,-0.19254,0.00961,0,,,
1,G0,0.68416,-0.0421,0.015715,0,-0.1678,0.00782,0,,,
1,G1,-0.00531,0.10055,-0.00499,0,-0.18552,0.00914,0,,,
1,G5,0.35565,0.00713,0.00136,0,-0.18287,0.00929,0,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
