t/Ri ,Gi,A0,A1,A2,A3,A4,A5,A6,,,
0.01,G0,0.99919,0.4392,-0.01002,0,0.2213,-0.02807,0.00088,,,
0.01,G1,0.99397,1.59021,-0.06074,0,2.03172,-0.21276,0.006006,,,
0.01,G5,1,0.27697,-0.022358,0.002353,0.06382,-0.01151,0.000697,,,
0.01667,G0,1.01635,0.09868,0,0,-0.04534,0.00076,0,,,
0.01667,G1,0.99097,0.10733,0.02348,0,0.21638,-0.0067,0.000077,,,
0.01667,G5,1.00306,-0.02574,0.004704,0.013164,-0.23928,0.07014,-0.00073,,,
0.05,G0,0.99607,0.06901,-0.00558,0,-0.10937,0.00474,-0.000081,,,
0.05,G1,0.98753,-0.008,0.02279,0,0.06231,-0.0009,0.000115,,,
0.05,G5,1.00429,0.13684,-0.021254,0.0009,-0.04125,-0.00574,0.000393,,,
0.1,G0,1.00949,0.16366,-0.00464,0,0.00975,-0.00417,0,,,
0.1,G1,0.98643,0.11639,0.00266,0,0.16737,-0.01294,0,,,
0.1,G5,1.00469,0.07419,-0.0005,0,-0.06859,0.01303,-0.00075,,,
0.2,G0,0.9884,0.04799,0,0,-0.06861,-0.00014,0,,,
0.2,G1,0.98902,-0.03266,0.00922,0,0.01411,-0.00548,0,,,
0.2,G5,0.99776,-0.27776,0.03097,0,-0.36635,0.05633,-0.00242,,,
0.33333,G0,0.96251,-0.022768,0,0,-0.14653,0.00595,0,,,
0.33333,G1,0.99049,-0.14327,0.01859,0,-0.10487,0.00507,0,,,
0.33333,G5,1.00495,-0.01345,0,0,-0.06211,0,0,,,
1,G0,0.92018,-0.086731,0.000243,0,-0.22557,0.01421,0,,,
1,G1,0.99211,0.31953,-0.04235,0,0.49091,-0.14026,0.009044,,,
1,G5,0.99702,0.25025,-0.043352,0,0.3093,-0.0867,0.00472,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
